model_name_or_path,datasets
aman-mehra/gpt2-medium-finetune-squad-ep-0.07-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.09-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.12-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.14-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.16-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.18-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.05-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.22-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.15-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-07-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-05-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0002-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.002-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.002-wd-0.001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0002-wd-0.001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-05-wd-0.001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-06-wd-0.001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.002-wd-0.01-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0002-wd-0.01-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-05-wd-0.01-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-06-wd-0.01-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-3e-07-wd-0.0001-glb_sd-1-reorder,
aman-mehra/gpt2-medium-finetune-squad-ep-0.25-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-11,
aman-mehra/gpt2-medium-finetune-squad-ep-0.29-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-12,
aman-mehra/gpt2-medium-finetune-squad-ep-0.23-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-13,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-06-wd-1e-05-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-05-wd-1e-05-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0002-wd-1e-05-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-1,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-2,
aman-mehra/gpt2-medium-finetune-squad-ep-2.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-3,
aman-mehra/gpt2-medium-finetune-squad-ep-2.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-4,
aman-mehra/gpt2-medium-finetune-squad-ep-2.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-5,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-07-wd-0.0001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-05-wd-0.0001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0002-wd-0.0001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0002-wd-0.001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-05-wd-0.001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-06-wd-0.001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0002-wd-0.01-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-05-wd-0.01-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-2e-06-wd-0.01-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-3.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-6,
aman-mehra/gpt2-medium-finetune-squad-ep-3.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-7,
aman-mehra/gpt2-medium-finetune-squad-ep-4.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-8,
aman-mehra/gpt2-medium-finetune-squad-ep-4.0-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-9,
aman-mehra/gpt2-medium-finetune-squad-ep-0.35-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-14,
aman-mehra/gpt2-medium-finetune-squad-ep-0.41-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-15,
aman-mehra/gpt2-medium-finetune-squad-ep-0.48-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-16,
aman-mehra/gpt2-medium-finetune-squad-ep-0.55-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-17,
aman-mehra/gpt2-medium-finetune-squad-ep-0.63-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-18,
aman-mehra/gpt2-medium-finetune-squad-ep-0.7-lr-2e-06-wd-0.0001-glb_sd-1-data_sd-19,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-4e-06-wd-1e-05-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-6e-06-wd-1e-05-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-6e-06-wd-0.001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-6e-05-wd-0.0001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-8e-05-wd-0.001-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-4e-05-wd-1e-05-glb_sd-1-data_sd-0,
aman-mehra/gpt2-medium-finetune-squad-ep-1.1-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-10,
aman-mehra/gpt2-medium-finetune-squad-ep-1.3-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-11,
aman-mehra/gpt2-medium-finetune-squad-ep-1.5-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-12,
aman-mehra/gpt2-medium-finetune-squad-ep-1.7-lr-3e-07-wd-0.0001-glb_sd-1-data_sd-13,
aswin1906/gpt2-medium-wiki,['wikipedia']
